win%,k/d,dmg/rnd,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,rank_Ascendant,rank_Bronze,rank_Diamond,rank_Gold,rank_Immortal,rank_Iron,rank_Platinum,rank_Radiant,rank_Silver,rank_Unranked,performance,skill,consistency,dmg_indicator
40.2,0.52,0.5866666666666667,0.7607407407407407,0.4875,0.7142857142857143,0.6602916666666667,0.5599999999999999,False,False,False,False,False,False,True,False,False,False,0.351432277191032,0.4675999999999999,0.4922178988326848,0.3853333333333333
59.1,0.57,0.5900000000000001,0.3074074074074074,0.4125,0.2628571428571428,0.2215833333333333,0.48,False,False,False,False,False,False,False,False,True,False,0.6146118721461189,0.4288,0.5136986301369864,0.5485333333333333
67.7,0.53,0.4941666666666667,0.4562962962962963,0.725,0.4728571428571428,0.4331666666666666,0.64,False,False,False,False,True,False,False,False,False,False,0.6667545787545788,0.4871999999999999,0.5025641025641026,0.597
53.5,0.545,0.5408333333333334,0.0837037037037037,0.309375,0.07,0.0685833333333333,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.5180790503170106,0.3724,0.4787535410764872,0.518
60.0,0.485,0.5900000000000001,0.0274074074074074,0.425,0.0242857142857142,0.0209583333333333,0.5599999999999999,False,True,False,False,False,False,False,False,False,False,0.39701312335958,0.5516,0.5078740157480315,0.4048666666666666
61.0,0.555,0.5416666666666666,0.6866666666666666,0.634375,0.6628571428571428,0.6185833333333334,0.64,True,False,False,False,False,False,False,False,False,False,0.2681550048590864,0.324,0.4438775510204081,0.3616333333333333
64.7,0.635,0.6150000000000001,0.2207407407407407,0.4875,0.2157142857142857,0.192,0.5599999999999999,False,False,False,True,False,False,False,False,False,False,0.2722279942279942,0.3935999999999999,0.5151515151515151,0.3143666666666667
38.1,0.44,0.4349999999999999,0.2407407407407407,0.553125,0.2371428571428571,0.191125,0.5599999999999999,False,False,False,True,False,False,False,False,False,False,0.5899644874899113,0.5952000000000001,0.5141242937853108,0.5313
57.1,0.705,0.7766666666666666,0.0437037037037037,0.609375,0.0485714285714285,0.0449166666666666,0.72,False,False,False,False,False,False,True,False,False,False,0.8360970579314527,0.5152000000000001,0.4904458598726114,0.7326
63.0,0.35,0.1825,0.1111111111111111,0.509375,0.1185714285714285,0.0694583333333333,0.48,False,False,False,False,False,False,False,False,True,False,0.6667142857142857,0.48,0.5,0.6000333333333333
54.8,0.58,0.6158333333333333,0.2844444444444444,0.54375,0.2785714285714286,0.2299166666666666,0.5599999999999999,False,False,False,False,False,False,True,False,False,False,0.6074552802670884,0.6624,0.5092250922509225,0.5484333333333333
56.2,0.595,0.6425,0.7481481481481481,0.79375,0.7142857142857143,0.6230416666666667,0.5599999999999999,True,False,False,False,False,False,False,False,False,False,0.5507809523809525,0.2576,0.45,0.5765333333333333
34.6,0.42,0.2983333333333333,0.5355555555555556,0.56875,0.5057142857142857,0.3624583333333333,0.48,False,False,False,False,False,False,False,False,True,False,0.7705714285714285,0.5952000000000001,0.5,0.6727333333333333
51.1,0.525,0.5666666666666667,0.2614814814814815,0.415625,0.2414285714285714,0.2176666666666666,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.4620636175418784,0.3167999999999999,0.4624505928853755,0.4938666666666667
50.0,0.55,0.7866666666666667,0.1074074074074074,0.240625,0.0985714285714285,0.0911666666666666,0.64,False,True,False,False,False,False,False,False,False,False,0.9264065133011457,0.7020000000000001,0.5009940357852882,0.7802666666666667
65.6,0.66,0.7141666666666666,0.4607407407407407,0.640625,0.4671428571428571,0.4437083333333333,0.64,True,False,False,False,False,False,False,False,False,False,0.523625932300631,0.3303999999999999,0.465863453815261,0.5365
51.6,0.45,0.4166666666666667,0.2777777777777778,0.609375,0.2714285714285714,0.2349583333333333,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.7801154025127965,0.5472,0.4853420195439739,0.6999333333333333
55.0,0.545,0.5650000000000001,0.1785185185185185,0.39375,0.1757142857142857,0.1577916666666666,0.64,False,False,False,False,False,False,False,False,True,False,0.4930881025192951,0.8676,0.5107033639143731,0.4684666666666666
45.0,0.58,0.6658333333333334,0.0348148148148148,0.590625,0.0314285714285714,0.0292083333333333,0.5599999999999999,False,True,False,False,False,False,False,False,False,False,0.6133985015336653,0.8672000000000001,0.4899683210137275,0.5742333333333334
56.2,0.51,0.4283333333333334,0.057037037037037,0.346875,0.0542857142857142,0.041,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.2815271030602442,0.3072,0.4870317002881844,0.3392
49.5,0.545,0.5691666666666667,0.2207407407407407,0.5125,0.2071428571428571,0.19375,0.5599999999999999,False,False,False,False,False,False,False,False,True,False,0.367605572089947,0.2447999999999999,0.5060763888888888,0.3859666666666667
39.3,0.425,0.335,0.1622222222222222,0.36875,0.1614285714285714,0.1255416666666666,0.5599999999999999,False,False,False,False,False,True,False,False,False,False,0.3759637188208616,0.4395999999999999,0.4761904761904761,0.4163333333333333
50.0,0.5,0.5908333333333334,0.1851851851851851,0.51875,0.1685714285714285,0.1505833333333333,0.5599999999999999,False,True,False,False,False,False,False,False,False,False,0.4293217893217895,0.4032,0.5252525252525253,0.413
36.4,0.475,0.4658333333333334,0.2251851851851851,0.4875,0.2142857142857142,0.2259583333333333,0.72,False,False,False,False,False,False,True,False,False,False,0.4798221288515406,0.2659999999999999,0.4933155080213903,0.4755666666666666
47.7,0.55,0.6358333333333335,0.5066666666666667,0.503125,0.4714285714285714,0.4057916666666666,0.5599999999999999,False,False,False,False,False,False,True,False,False,False,0.4337839221710189,0.2911999999999999,0.5053763440860215,0.4323333333333333
49.3,0.535,0.4816666666666667,0.6044444444444445,0.7125,0.5714285714285714,0.5403333333333333,0.64,True,False,False,False,False,False,False,False,False,False,0.5339477726574501,0.432,0.4838709677419355,0.5239999999999999
50.0,0.5,0.4633333333333332,0.1237037037037037,0.259375,0.12,0.0882916666666666,0.48,False,True,False,False,False,False,False,False,False,False,0.7109972240017083,0.8460000000000001,0.5381165919282511,0.5863333333333334
56.1,0.555,0.5341666666666666,0.2333333333333333,0.53125,0.2328571428571428,0.2045,0.64,False,False,False,True,False,False,False,False,False,False,0.8282460317460317,0.3135999999999999,0.4583333333333333,0.7779333333333334
55.6,0.57,0.6333333333333333,0.7407407407407407,0.621875,0.6814285714285714,0.6425416666666667,0.64,False,False,False,True,False,False,False,False,False,False,0.3996017316017315,0.5348,0.5311004784688995,0.3888666666666666
53.1,0.5,0.4208333333333333,0.5185185185185185,0.69375,0.5371428571428571,0.478625,0.64,True,False,False,False,False,False,False,False,False,False,0.259173294059892,0.288,0.4845360824742268,0.3248
57.8,0.575,0.5625,0.6785185185185185,0.34375,0.6771428571428572,0.6039583333333334,0.64,False,False,True,False,False,False,False,False,False,False,0.6272448116058835,0.4424,0.4880112834978843,0.5864666666666667
51.6,0.565,0.4658333333333334,0.8355555555555556,0.678125,0.8071428571428572,0.7652083333333334,0.64,False,False,False,False,True,False,False,False,False,False,0.565174087816945,0.7424,0.5373376623376623,0.4921999999999999
52.2,0.555,0.6133333333333333,0.554074074074074,0.553125,0.5371428571428571,0.4675,0.5599999999999999,False,False,False,False,False,False,True,False,False,False,0.187493869404049,0.324,0.4925149700598802,0.2686
43.9,0.565,0.5474999999999999,0.4637037037037037,0.771875,0.4471428571428571,0.425125,0.64,True,False,False,False,False,False,False,False,False,False,0.5185359361135758,0.4416,0.494824016563147,0.5015
53.8,0.695,0.7791666666666667,0.2422222222222222,0.471875,0.24,0.23725,0.64,False,False,False,True,False,False,False,False,False,False,0.3582857142857142,0.3072,0.5,0.3841333333333333
56.5,0.6,0.7066666666666668,0.4548148148148148,0.665625,0.4271428571428571,0.4579166666666667,0.72,False,False,False,False,False,False,True,False,False,False,0.609904761904762,0.5935999999999999,0.5,0.5602666666666667
54.2,0.505,0.4316666666666667,0.497037037037037,0.546875,0.4885714285714285,0.4385833333333333,0.5599999999999999,True,False,False,False,False,False,False,False,False,False,0.4316587235724164,0.4788,0.5004149377593361,0.4351333333333333
